"rsq","mu","sampling"
0.9910788540939374,98.76116295657431,"Beta-Binomial rho = 0.01"
0.9892366482879104,71.55370161448468,"Beta-Binomial rho = 0.05"
0.9924601597538185,60.08213729636028,"Beta-Binomial rho = 0.1"
0.9838895290540264,57.02360931692355,"Binomial"
0.9925029168984638,58.64631847442911,"Beta-Binomial rho = 0.01"
0.9841395920577435,52.42081919572562,"Beta-Binomial rho = 0.05"
0.9855241095211196,50.02143276558412,"Beta-Binomial rho = 0.1"
0.9944910100354064,92.2715409489205,"Binomial"
0.9904057867355736,97.21304165659379,"Beta-Binomial rho = 0.01"
0.9887295225061826,87.15352780289147,"Beta-Binomial rho = 0.05"
0.9902745671339073,72.3840184412053,"Beta-Binomial rho = 0.1"
0.9813192142584212,105.71339297739716,"Binomial"
0.9786702572989591,92.31958053073045,"Beta-Binomial rho = 0.01"
0.9784435996041225,72.4927415037869,"Beta-Binomial rho = 0.05"
0.9805203960011485,54.12413467564231,"Beta-Binomial rho = 0.1"
0.9965997479811314,36.860988599492394,"Binomial"
0.9961941869868097,38.437609556919824,"Beta-Binomial rho = 0.01"
0.9811180202252278,41.59930271081135,"Beta-Binomial rho = 0.05"
0.9825163145876197,40.60881655006118,"Beta-Binomial rho = 0.1"
0.9988692908420006,84.54810532503433,"Binomial"
0.9945728073665078,81.3924532103367,"Beta-Binomial rho = 0.01"
0.9934883714700566,60.816394493337135,"Beta-Binomial rho = 0.05"
0.9925578681213315,51.265461419781325,"Beta-Binomial rho = 0.1"
0.9927830745462773,175.4662670682622,"Binomial"
0.9849055492406218,153.8095381593606,"Beta-Binomial rho = 0.01"
0.9841141420891476,113.4797250251759,"Beta-Binomial rho = 0.05"
0.98193552744317,87.4937953505721,"Beta-Binomial rho = 0.1"
0.9992154977246762,89.49640000040162,"Binomial"
0.9950640742659824,78.19254770235304,"Beta-Binomial rho = 0.01"
0.9847700988476804,64.8693823166046,"Beta-Binomial rho = 0.05"
0.9895968588902693,58.0833659475443,"Beta-Binomial rho = 0.1"
0.9910608230160078,86.78644241674833,"Binomial"
0.9902957579671665,75.97196762632802,"Beta-Binomial rho = 0.01"
0.9931645972587564,55.151644943498056,"Beta-Binomial rho = 0.05"
0.9729297296269955,55.44830713714086,"Beta-Binomial rho = 0.1"
0.9888890278178541,125.22842445496582,"Binomial"
0.9939398857348636,108.89815732409006,"Beta-Binomial rho = 0.01"
0.9914929552511833,81.68959608549362,"Beta-Binomial rho = 0.05"
0.9873407120543176,62.080136055451476,"Beta-Binomial rho = 0.1"
0.9828396251163247,101.8230219643842,"Binomial"
0.9815699916320098,93.16254211796688,"Beta-Binomial rho = 0.01"
0.9729883339161265,82.74373972397812,"Beta-Binomial rho = 0.05"
0.97743813242856,65.31531720888138,"Beta-Binomial rho = 0.1"
0.9977556062764675,78.22686208197554,"Binomial"
0.998270032160914,74.58349448357203,"Beta-Binomial rho = 0.01"
0.9960979071314898,59.61482316803627,"Beta-Binomial rho = 0.05"
0.974104580033357,50.2511139375083,"Beta-Binomial rho = 0.1"
0.9779879276840888,178.2517967982294,"Binomial"
0.9783130296414295,175.1550043981685,"Beta-Binomial rho = 0.01"
0.9893858410252749,116.59669413551256,"Beta-Binomial rho = 0.05"
0.9923430200352816,87.70824061918162,"Beta-Binomial rho = 0.1"
0.99190723038561,95.96725553005274,"Binomial"
0.9983675849876811,89.63122337334424,"Beta-Binomial rho = 0.01"
0.98557537604119,63.17838249597703,"Beta-Binomial rho = 0.05"
0.9915724589597954,58.435733681941414,"Beta-Binomial rho = 0.1"
0.9822996192838103,146.68828845567208,"Binomial"
0.9948255536592456,156.00143516246126,"Beta-Binomial rho = 0.01"
0.9976311622649251,127.49190775743766,"Beta-Binomial rho = 0.05"
0.9968055008180164,102.74333970534195,"Beta-Binomial rho = 0.1"
0.9891072195639897,140.7433539279597,"Binomial"
0.9887473699000461,134.64770048856462,"Beta-Binomial rho = 0.01"
0.992858567391001,98.96964528042959,"Beta-Binomial rho = 0.05"
0.9894144741649668,79.79106216681951,"Beta-Binomial rho = 0.1"
0.9971374623604863,101.17261932080888,"Binomial"
0.9929247634664279,92.08662877922953,"Beta-Binomial rho = 0.01"
0.9933826399518323,79.39475980812648,"Beta-Binomial rho = 0.05"
0.9910480946973138,59.68740613756811,"Beta-Binomial rho = 0.1"
0.998884854167498,83.57498541147282,"Binomial"
0.9940317218016244,87.98134862608686,"Beta-Binomial rho = 0.01"
0.9884231859462339,68.28480584771496,"Beta-Binomial rho = 0.05"
0.979895766584161,49.66236915599897,"Beta-Binomial rho = 0.1"
0.9982091517848195,98.69676656771773,"Binomial"
0.9972614487046481,100.5067499845288,"Beta-Binomial rho = 0.01"
0.9927991687013736,81.16840633125672,"Beta-Binomial rho = 0.05"
0.9949348677759382,56.479877913275644,"Beta-Binomial rho = 0.1"
0.995094922591207,126.83338857998608,"Binomial"
0.9981066040048729,125.02905603688932,"Beta-Binomial rho = 0.01"
0.9928480811115856,101.14121509601758,"Beta-Binomial rho = 0.05"
0.9939230636647863,78.95793240256442,"Beta-Binomial rho = 0.1"
0.9910290446777524,161.25276808163548,"Binomial"
0.9881098958573188,150.26990517975932,"Beta-Binomial rho = 0.01"
0.9874477742292833,115.98958341940451,"Beta-Binomial rho = 0.05"
0.990272207415824,89.63612058878492,"Beta-Binomial rho = 0.1"
0.9995128575785684,43.99159657566184,"Binomial"
0.9991553647307239,42.3938225032369,"Beta-Binomial rho = 0.01"
0.9851577223660937,50.5868646932287,"Beta-Binomial rho = 0.05"
0.9719189011455863,50.0334280307672,"Beta-Binomial rho = 0.1"
0.9979054122342554,104.24709552584127,"Binomial"
